c	P	Cykliczność	Czas (h)	Kontekst	Priorytet	PP	Level	LP	Miejsce	Termin	👽	w	u	n1	n2	Zadanie	Opis	Opis 2
C	12	codziennie	0,5	inne	1. Blocker	1000	Trudne	1	-----	2026-03-29	1013	s	x			AI DEVS
T	6		2	dom	1. Blocker	1000	Średnie	3	-----	2026-03-29	1009	a	x			"Ustalić jaką kupić lampę UV i kto ją założy.
Perplexity: https://www.perplexity.ai/search/perplexity-stacja-uzdatniania-xrVskzI7Q02F3K3LibRUZA
Potem badać wodę"	Studnia głębinowa - badanie wody po 3-6 miesiący; jak będzie OK to potem co 12-24 miesiące
C	8	1 lipca	1	inne	1. Blocker	1000	Trudne	1	-----	2026-03-29	1009	s	x			Analizator pomyslow generujący raport sposób realizacji i ile można będzie na tym zarobić. Czyli analizę biznesową.
T	16		0,5	samochód	2. Critical	10	Średnie	3	-----	2026-03-29	29	a	x			"CZARNA
- sprawdzić czy w ubezpieczalni sprawa zamknięta - powinien być zwrot kasy, potwierdzić że wszędzie jestem wypisany i że to koniec spraw z CZARNA
- zweryfikować na mObywatel czy wyrejestrowali mi Czarną"
C	16	Co rok	6	dom	2. Critical	10	Trudne	1	Kocoń	2026-03-29	27	a	x			czyszczenie kuchennych szafek w środku (Kocoń)
T	12		2	samochód	2. Critical	10	Średnie	3	Katowice	2026-03-29	25	s	x			napisać do parkingów w Łodzi z pytaniem czy trzeba jakieś odsetki i o zwroot za złą strefę
C	14	Co rok	6	dom	2. Critical	10	Trudne	1	Katowice	2026-03-29	25	a	x			czyszczenie kuchennych szafek w środku (Katowice)
C	14	 Co 2 miesiące	1	dom	2. Critical	10	Trudne	1	Katowice	2026-03-29	25	a	x			czyszczenie armatury i AGD w kuchni (Katowice) - Mariola
C	9	 Co 2 miesiące	1	dom	2. Critical	10	Trudne	1	Kocoń	2026-03-29	20	a	x			czyszczenie armatury i AGD w kuchni (Kocoń)
T	14		4	inne	4. Normal	3	Średnie	3	-----	2026-03-29	20	s	x			Stworzyć nową piosenkę (o Krzysiu)
